# ASCII calibration file


[ Rich Calibrater Parameters Setup ]

Sector	Row	Column
1	90	92

[ Rich Calibrater Parameters: Sector 0 ]

Row	Column	Slope	Offset
0	0	1	0
1	0	1	0
2	0	1	0
3	0	1	0
4	0	1	0
5	0	1	0
6	0	1	0
7	0	1	0
8	0	1	0
9	0	1	0
10	0	1	0
11	0	1	0
12	0	1	0
13	0	1	0
14	0	1	0
15	0	1	0
16	0	1	0
17	0	1	0
18	0	1	0
19	0	1	0
20	0	1	0
21	0	1	0
22	0	1	0
23	0	1	0
24	0	1	0
25	0	1	0
26	0	1	0
27	0	1	0
28	0	1	0
29	0	1	0
30	0	1	0
31	0	1	0
32	0	1	0
33	0	1	0
34	0	1	0
35	0	1	0
36	0	1	0
37	0	1	0
38	0	1	0
39	0	1	0
40	0	1	0
41	0	1	0
42	0	1	0
43	0	1	0
44	0	1	0
45	0	1	0
46	0	1	0
47	0	1	0
48	0	1	0
49	0	1	0
50	0	1	0
51	0	1	0
52	0	1	0
53	0	1	0
54	0	1	0
55	0	1	0
56	0	1	0
57	0	1	0
58	0	1	0
59	0	1	0
60	0	1	0
61	0	1	0
62	0	1	0
63	0	1	0
64	0	1	0
65	0	1	0
66	0	1	0
67	0	1	0
68	0	1	0
69	0	1	0
70	0	1	0
71	0	1	0
72	0	1	0
73	0	1	0
74	0	1	0
75	0	1	0
76	0	1	0
77	0	1	0
78	0	1	0
79	0	1	0
80	0	1	0
81	0	1	0
82	0	1	0
83	0	1	0
84	0	1	0
85	0	1	0
86	0	1	0
87	0	1	0
88	0	1	0
89	0	1	0
0	1	1	0
1	1	1	0
2	1	1	0
3	1	1	0
4	1	1	0
5	1	1	0
6	1	1	0
7	1	1	0
8	1	1	0
9	1	1	0
10	1	1	0
11	1	1	0
12	1	1	0
13	1	1	0
14	1	1	0
15	1	1	0
16	1	1	0
17	1	1	0
18	1	1	0
19	1	1	0
20	1	1	0
21	1	1	0
22	1	1	0
23	1	1	0
24	1	1	0
25	1	1	0
26	1	1	0
27	1	1	0
28	1	1	0
29	1	1	0
30	1	1	0
31	1	1	0
32	1	1	0
33	1	1	0
34	1	1	0
35	1	1	0
36	1	1	0
37	1	1	0
38	1	1	0
39	1	1	0
40	1	1	0
41	1	1	0
42	1	1	0
43	1	1	0
44	1	1	0
45	1	1	0
46	1	1	0
47	1	1	0
48	1	1	0
49	1	1	0
50	1	1	0
51	1	1	0
52	1	1	0
53	1	1	0
54	1	1	0
55	1	1	0
56	1	1	0
57	1	1	0
58	1	1	0
59	1	1	0
60	1	1	0
61	1	1	0
62	1	1	0
63	1	1	0
64	1	1	0
65	1	1	0
66	1	1	0
67	1	1	0
68	1	1	0
69	1	1	0
70	1	1	0
71	1	1	0
72	1	1	0
73	1	1	0
74	1	1	0
75	1	1	0
76	1	1	0
77	1	1	0
78	1	1	0
79	1	1	0
80	1	1	0
81	1	1	0
82	1	1	0
83	1	1	0
84	1	1	0
85	1	1	0
86	1	1	0
87	1	1	0
88	1	1	0
89	1	1	0
0	2	1	0
1	2	1	0
2	2	1	0
3	2	1	0
4	2	1	0
5	2	1	0
6	2	1	0
7	2	1	0
8	2	1	0
9	2	1	0
10	2	1	0
11	2	1	0
12	2	1	0
13	2	1	0
14	2	1	0
15	2	1	0
16	2	1	0
17	2	1	0
18	2	1	0
19	2	1	0
20	2	1	0
21	2	1	0
22	2	1	0
23	2	1	0
24	2	1	0
25	2	1	0
26	2	1	0
27	2	1	0
28	2	1	0
29	2	1	0
30	2	1	0
31	2	1	0
32	2	1	0
33	2	1	0
34	2	1	0
35	2	1	0
36	2	1	0
37	2	1	0
38	2	1	0
39	2	1	0
40	2	1	0
41	2	1	0
42	2	1	0
43	2	1	0
44	2	1	0
45	2	1	0
46	2	1	0
47	2	1	0
48	2	1	0
49	2	1	0
50	2	1	0
51	2	1	0
52	2	1	0
53	2	1	0
54	2	1	0
55	2	1	0
56	2	1	0
57	2	1	0
58	2	1	0
59	2	1	0
60	2	1	0
61	2	1	0
62	2	1	0
63	2	1	0
64	2	1	0
65	2	1	0
66	2	1	0
67	2	1	0
68	2	1	0
69	2	1	0
70	2	1	0
71	2	1	0
72	2	1	0
73	2	1	0
74	2	1	0
75	2	1	0
76	2	1	0
77	2	1	0
78	2	1	0
79	2	1	0
80	2	1	0
81	2	1	0
82	2	1	0
83	2	1	0
84	2	1	0
85	2	1	0
86	2	1	0
87	2	1	0
88	2	1	0
89	2	1	0
0	3	1	0
1	3	1	0
2	3	1	0
3	3	1	0
4	3	1	0
5	3	1	0
6	3	1	0
7	3	1	0
8	3	1	0
9	3	1	0
10	3	1	0
11	3	1	0
12	3	1	0
13	3	1	0
14	3	1	0
15	3	1	0
16	3	1	0
17	3	1	0
18	3	1	0
19	3	1	0
20	3	1	0
21	3	1	0
22	3	1	0
23	3	1	0
24	3	1	0
25	3	1	0
26	3	1	0
27	3	1	0
28	3	1	0
29	3	1	0
30	3	1	0
31	3	1	0
32	3	1	0
33	3	1	0
34	3	1	0
35	3	1	0
36	3	1	0
37	3	1	0
38	3	1	0
39	3	1	0
40	3	1	0
41	3	1	0
42	3	1	0
43	3	1	0
44	3	1	0
45	3	1	0
46	3	1	0
47	3	1	0
48	3	1	0
49	3	1	0
50	3	1	0
51	3	1	0
52	3	1	0
53	3	1	0
54	3	1	0
55	3	1	0
56	3	1	0
57	3	1	0
58	3	1	0
59	3	1	0
60	3	1	0
61	3	1	0
62	3	1	0
63	3	1	0
64	3	1	0
65	3	1	0
66	3	1	0
67	3	1	0
68	3	1	0
69	3	1	0
